コード,企業名,市場区分,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA
7422,東邦レマック,スタンダード（内国株式）,2024/12,48,0,1,1,24.44,2.66,2.04
7034,プロレド・パートナーズ,プライム（内国株式）,2024/10,48,-1,13,3,29.28,5.06,2.44
6264,マルマエ,プライム（内国株式）,2024/08,47,2,0,0,1.55,0.27,0.17
9348,ｉｓｐａｃｅ,グロース（内国株式）,2025/03,47,-98,-113,-119,-124.32,,
6093,エスクロー・エージェント・ジャパン,スタンダード（内国株式）,2025/02,47,5,5,3,8.0,9.82,7.33
9425,ＲｅＹｕｕ　Ｊａｐａｎ,スタンダード（内国株式）,2024/10,47,-1,-1,-1,-15.33,,
7946,光陽社,スタンダード（内国株式）,2025/03,47,1,1,1,88.73,3.35,1.89
3248,アールエイジ,スタンダード（内国株式）,2024/10,47,9,8,5,166.58,11.62,3.68
3991,ウォンテッドリー,グロース（内国株式）,2024/08,47,16,16,10,109.13,25.94,19.67
8181,東天紅,スタンダード（内国株式）,2025/02,47,5,5,4,167.43,6.43,3.94
7362,Ｔ．Ｓ．Ｉ,グロース（内国株式）,2024/12,47,1,2,1,75.2,8.68,2.37
173A,ハンモック,グロース（内国株式）,2025/03,47,8,8,6,146.98,22.67,10.07
2499,日本和装ホールディングス,スタンダード（内国株式）,2024/12,47,5,4,3,32.7,8.16,3.17
4976,東洋ドライルーブ,スタンダード（内国株式）,2024/06,47,7,8,6,466.23,6.43,5.14
6159,ミクロン精密,スタンダード（内国株式）,2024/08,47,4,8,5,87.41,3.68,3.2
4415,ブロードエンタープライズ,グロース（内国株式）,2024/12,47,7,6,3,57.03,28.68,4.35
4829,日本エンタープライズ,スタンダード（内国株式）,2024/05,47,3,3,2,5.43,4.26,3.52
6734,ニューテック,スタンダード（内国株式）,2025/02,47,4,4,3,138.65,9.89,5.65
7378,アシロ,グロース（内国株式）,2024/10,47,3,,1,19.62,6.24,3.5
7746,岡本硝子,スタンダード（内国株式）,2025/03,47,1,1,1,3.82,4.94,1.03
2962,テクニスコ,スタンダード（内国株式）,2024/06,47,-5,-3,-6,-67.48,,
8742,小林洋行,スタンダード（内国株式）,2025/03,47,2,3,2,19.23,2.45,1.15
1444,ニッソウ,グロース（内国株式）,2024/07,47,1,1,0,23.12,1.68,0.91
7992,セーラー万年筆,スタンダード（内国株式）,2024/12,47,-3,-2,-11,-38.65,,
9344,アクシスコンサルティング,グロース（内国株式）,2024/06,47,8,8,5,101.26,15.88,12.22
3804,システム　ディ,スタンダード（内国株式）,2024/10,46,8,8,6,86.78,12.34,7.98
9343,アイビス,グロース（内国株式）,2024/12,46,12,12,8,230.06,40.08,26.22
4728,トーセ,スタンダード（内国株式）,2024/08,46,-5,-5,-3,-34.42,,
6769,ザインエレクトロニクス,スタンダード（内国株式）,2024/12,46,0,3,3,31.82,3.62,3.29
9376,ユーラシア旅行社,スタンダード（内国株式）,2024/09,46,1,1,1,32.67,6.89,4.11
3997,トレードワークス,スタンダード（内国株式）,2024/12,46,-1,-1,-2,-45.04,,
4484,ランサーズ,グロース（内国株式）,2025/03,46,1,1,2,10.83,12.96,5.37
7524,マルシェ,スタンダード（内国株式）,2025/03,46,0,0,0,4.24,8.29,0.99
6969,松尾電機,スタンダード（内国株式）,2025/03,45,5,5,4,140.3,16.31,6.83
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,グロース（内国株式）,2024/12,45,0,0,-2,-10.17,,
5380,新東,スタンダード（内国株式）,2024/06,45,-1,-1,-1,-93.1,,
3185,夢展望,グロース（内国株式）,2025/03,45,-3,,-4,-22.5,,
2872,セイヒョー,スタンダード（内国株式）,2025/02,45,1,1,1,85.33,8.53,3.62
3670,協立情報通信,スタンダード（内国株式）,2025/03,45,3,3,2,142.76,8.07,5.35
7353,ＫＩＹＯラーニング,グロース（内国株式）,2024/12,45,2,2,2,30.7,16.15,4.81
9560,プログリット,グロース（内国株式）,2024/08,45,8,8,6,49.89,34.13,15.7
3121,マーチャント・バンカーズ,スタンダード（内国株式）,2024/10,44,3,1,2,6.23,4.37,1.11
9331,キャスター,グロース（内国株式）,2024/08,44,-2,-2,-2,-113.48,,
4054,日本情報クリエイト,グロース（内国株式）,2024/06,44,7,7,4,30.43,12.38,7.7
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,2025/01,44,-6,-6,-5,-56.73,,
244A,グロースエクスパートナーズ,グロース（内国株式）,2024/08,44,6,6,4,153.9,21.84,11.8
