コード,企業名,市場区分,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA
7203,トヨタ自動車,プライム（内国株式）,2025/03,480367,47956,,47651,359.56,13.26,5.09
7267,本田技研工業,プライム（内国株式）,2025/03,216888,12135,,8358,178.93,6.78,2.72
8058,三菱商事,プライム（内国株式）,2025/03,186176,3711,,9507,236.97,10.15,4.42
8031,三井物産,プライム（内国株式）,2025/03,146626,4007,,9003,306.73,11.93,5.36
8001,伊藤忠商事,プライム（内国株式）,2024/03,140299,7029,,8018,553.0,14.77,5.53
9432,日本電信電話,プライム（内国株式）,2025/03,137047,16496,,10000,11.96,9.78,3.33
8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,2025/03,136300,,26695,18629,160.02,9.08,0.45
6758,ソニーグループ,プライム（内国株式）,2025/03,129571,14072,,11416,188.71,13.96,3.23
7201,日産自動車,プライム（内国株式）,2025/03,126332,698,2102,-6709,-187.08,,
5020,ＥＮＥＯＳホールディングス,プライム（内国株式）,2025/03,123225,1061,,2261,79.96,7.29,2.57
3382,セブン＆アイ・ホールディングス,プライム（内国株式）,2025/02,119728,4210,3746,1731,66.62,3.45,1.52
6178,日本郵政,プライム（内国株式）,2025/03,114684,,8146,3706,119.3,4.08,0.12
8015,豊田通商,プライム（内国株式）,2025/03,103096,4972,,3625,343.4,13.81,5.14
8316,三井住友フィナンシャルグループ,プライム（内国株式）,2025/03,101749,,17195,11780,301.55,8.01,0.38
8267,イオン,プライム（内国株式）,2025/02,101349,2377,2242,288,33.58,2.74,0.21
8750,第一生命ホールディングス,プライム（内国株式）,2025/03,98733,,7191,4296,115.95,12.38,0.62
6501,日立製作所,プライム（内国株式）,2025/03,97834,9716,,6157,133.85,10.53,4.63
5019,出光興産,プライム（内国株式）,2025/03,91902,1622,2148,1041,77.83,6.05,2.18
8411,みずほフィナンシャルグループ,プライム（内国株式）,2025/03,90304,,11681,8854,350.21,8.48,0.31
5401,日本製鉄,プライム（内国株式）,2025/03,86955,5480,,3502,350.92,6.51,3.2
6752,パナソニック　ホールディングス,プライム（内国株式）,2025/03,84582,4265,,3662,156.87,7.8,3.92
8002,丸紅,プライム（内国株式）,2025/03,77902,2723,,5030,302.78,13.86,5.47
8053,住友商事,プライム（内国株式）,2025/03,72921,4050,,5619,463.96,12.09,4.83
9984,ソフトバンクグループ,プライム（内国株式）,2025/03,72438,7298,,11533,793.77,9.98,2.56
6902,デンソー,プライム（内国株式）,2025/03,71618,5190,,4191,145.02,8.42,5.16
9501,東京電力ホールディングス,プライム（内国株式）,2025/03,68104,2345,2544,1613,100.67,4.29,1.08
9434,ソフトバンク,プライム（内国株式）,2025/03,65443,9890,,5261,11.12,19.18,3.27
7181,かんぽ生命保険,プライム（内国株式）,2025/03,61653,,1703,1235,322.57,3.81,0.21
9433,ＫＤＤＩ,プライム（内国株式）,2025/03,59180,11187,,6857,169.33,13.37,4.06
7269,スズキ,プライム（内国株式）,2025/03,58252,6429,,4160,215.66,14.01,6.94
6503,三菱電機,プライム（内国株式）,2025/03,55217,3918,,3241,155.7,8.21,5.08
1925,大和ハウス工業,プライム（内国株式）,2025/03,54348,5463,5160,3251,514.0,12.43,4.61
8766,東京海上ホールディングス,プライム（内国株式）,2025/03,53052,,14600,10553,542.16,20.79,3.38
8630,ＳＯＭＰＯホールディングス,プライム（内国株式）,2025/03,52862,,5529,2431,250.91,4.43,1.53
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,2025/03,52830,,9290,6917,445.53,17.29,2.64
7011,三菱重工業,プライム（内国株式）,2025/03,50272,3143,,2454,73.04,10.46,3.69
7261,マツダ,プライム（内国株式）,2025/03,50189,1861,1890,1141,181.0,6.37,2.79
7259,アイシン,プライム（内国株式）,2025/03,48961,2029,,1076,137.81,5.44,2.51
5411,ＪＦＥホールディングス,プライム（内国株式）,2025/03,48596,1651,,919,144.43,3.63,1.63
6367,ダイキン工業,プライム（内国株式）,2025/03,47523,4017,3664,2648,904.27,9.45,5.16
8604,野村ホールディングス,プライム（内国株式）,2025/03,47367,,,3407,115.3,9.82,0.6
7270,ＳＵＢＡＲＵ,プライム（内国株式）,2025/03,46858,4053,,3381,458.03,12.45,6.64
5802,住友電気工業,プライム（内国株式）,2025/03,46798,3207,3095,1938,248.47,8.46,4.36
9613,ＮＴＴデータグループ,プライム（内国株式）,2025/03,46387,3239,,1425,101.6,7.78,1.83
4502,武田薬品工業,プライム（内国株式）,2025/03,45816,3426,,1079,68.36,1.56,0.76
7751,キヤノン,プライム（内国株式）,2024/12,45098,2798,,1600,165.53,4.73,2.78
5108,ブリヂストン,プライム（内国株式）,2024/12,44301,4433,,2850,416.19,7.64,4.98
4188,三菱ケミカルグループ,プライム（内国株式）,2025/03,44074,1967,,450,31.64,2.59,0.76
9503,関西電力,プライム（内国株式）,2025/03,43371,4689,5317,4204,436.09,13.71,4.35
6301,小松製作所,プライム（内国株式）,2025/03,41044,6571,,4396,473.82,13.85,7.61
6201,豊田自動織機,プライム（内国株式）,2025/03,40850,2217,,2623,856.96,5.35,2.79
1928,積水ハウス,プライム（内国株式）,2025/01,40586,3314,3016,2177,335.95,11.09,4.53
7459,メディパルホールディングス,プライム（内国株式）,2025/03,36713,556,653,403,193.19,6.5,2.21
9502,中部電力,プライム（内国株式）,2025/03,36692,2420,2764,2021,267.4,7.25,2.84
6098,リクルートホールディングス,プライム（内国株式）,2025/03,35575,4905,,4085,271.44,25.25,14.74
6702,富士通,プライム（内国株式）,2025/03,35501,2651,,2198,120.93,12.63,6.28
6701,日本電気,プライム（内国株式）,2025/03,34234,2565,,1752,131.5,8.97,4.06
7202,いすゞ自動車,プライム（内国株式）,2025/03,32356,2295,2482,1401,190.78,8.39,4.24
4901,富士フイルムホールディングス,プライム（内国株式）,2025/03,31958,3302,,2610,216.86,7.79,4.97
2914,日本たばこ産業,プライム（内国株式）,2024/12,31498,3235,,1792,100.95,4.76,2.14
9983,ファーストリテイリング,プライム（内国株式）,2024/08,31038,5009,,3720,1212.88,18.45,10.37
3407,旭化成,プライム（内国株式）,2025/03,30373,2119,1935,1350,97.94,7.26,3.36
6326,クボタ,プライム（内国株式）,2024/12,30163,3156,,2304,197.61,9.3,3.83
2784,アルフレッサ　ホールディングス,プライム（内国株式）,2025/03,29611,381,405,274,147.54,5.68,1.9
2502,アサヒグループホールディングス,プライム（内国株式）,2024/12,29394,2691,,1921,126.66,7.2,3.55
8309,三井住友トラストグループ,プライム（内国株式）,2025/03,29224,,3677,2576,359.57,8.32,0.33
1812,鹿島建設,プライム（内国株式）,2025/03,29118,1519,1607,1258,266.49,10.0,3.64
9020,東日本旅客鉄道,プライム（内国株式）,2025/03,28876,3768,3216,2243,198.29,7.84,2.2
8591,オリックス,プライム（内国株式）,2025/03,28748,3318,,3516,307.77,8.6,2.08
5021,コスモエネルギーホールディングス,プライム（内国株式）,2025/03,27999,1282,1508,577,672.78,9.86,2.67
7211,三菱自動車工業,プライム（内国株式）,2025/03,27882,1388,986,410,28.7,4.39,1.82
9506,東北電力,プライム（内国株式）,2025/03,26449,2803,2567,1828,365.5,18.56,3.39
9531,東京瓦斯,プライム（内国株式）,2025/03,26368,1331,1136,742,192.22,4.3,1.92
8801,三井不動産,プライム（内国株式）,2025/03,26254,3727,2903,2488,89.26,7.91,2.52
1802,大林組,プライム（内国株式）,2025/03,26201,1434,1534,1461,203.88,12.61,4.8
6594,ニデック,プライム（内国株式）,2025/03,26071,2402,,1677,145.95,9.75,5.04
9101,日本郵船,プライム（内国株式）,2025/03,25887,2108,4909,4777,1070.32,16.37,11.06
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,2024/12,25776,491,,317,121.47,3.72,1.38
7272,ヤマハ発動機,プライム（内国株式）,2024/12,25762,1815,1888,1081,110.12,9.3,3.88
3402,東レ,プライム（内国株式）,2025/03,25633,1275,,779,48.93,4.56,2.37
4063,信越化学工業,プライム（内国株式）,2025/03,25612,7421,8205,5340,269.52,11.47,9.47
5406,神戸製鋼所,プライム（内国株式）,2025/03,25550,1587,1572,1202,304.65,10.34,4.16
8078,阪和興業,プライム（内国株式）,2025/03,25545,615,597,455,1125.66,11.87,3.9
7752,リコー,プライム（内国株式）,2025/03,25279,638,,457,78.11,4.44,1.94
7182,ゆうちょ銀行,プライム（内国株式）,2025/03,25221,,5845,4143,114.6,4.58,0.18
2768,双日,プライム（内国株式）,2025/03,25097,769,,1106,513.74,11.42,3.58
4005,住友化学,プライム（内国株式）,2024/03,24469,-4888,,-3118,-190.69,,
8035,東京エレクトロン,プライム（内国株式）,2025/03,24316,6973,7077,5441,1182.4,29.57,20.72
9987,スズケン,プライム（内国株式）,2025/03,24000,371,388,345,454.57,8.47,3.1
9508,九州電力,プライム（内国株式）,2025/03,23568,1996,1947,1288,272.41,12.88,2.23
2503,キリンホールディングス,プライム（内国株式）,2024/12,23384,1253,,582,71.87,4.93,1.74
4578,大塚ホールディングス,プライム（内国株式）,2024/12,23299,3236,,3431,633.77,12.55,9.18
4755,楽天グループ,プライム（内国株式）,2024/12,22792,530,,-1624,-75.61,,
1605,ＩＮＰＥＸ,プライム（内国株式）,2024/12,22658,12718,,4273,345.31,8.86,5.79
9202,ＡＮＡホールディングス,プライム（内国株式）,2025/03,22619,1966,2001,1530,325.58,13.54,4.23
6762,ＴＤＫ,プライム（内国株式）,2025/03,22048,2242,,1672,88.1,9.29,4.72
6753,シャープ,プライム（内国株式）,2025/03,21601,273,177,361,55.59,23.54,2.48
1801,大成建設,プライム（内国株式）,2025/03,21542,1202,1345,1238,682.78,14.3,5.1
7012,川崎重工業,プライム（内国株式）,2025/03,21293,1246,,880,525.44,12.52,2.92
7451,三菱食品,スタンダード（内国株式）,2025/03,21208,316,333,232,533.94,10.63,2.99
7532,パン・パシフィック・インターナショナルホールディングス,プライム（内国株式）,2024/06,20951,1402,1487,887,148.64,16.53,5.92
8593,三菱ＨＣキャピタル,プライム（内国株式）,2025/03,20908,1871,1936,1352,94.19,7.55,1.15
9532,大阪瓦斯,プライム（内国株式）,2025/03,20690,1607,1896,1344,333.31,7.96,4.2
5201,ＡＧＣ,プライム（内国株式）,2024/12,20676,1258,,-940,-443.71,,
1911,住友林業,プライム（内国株式）,2024/12,20536,1946,1980,1165,569.41,12.66,5.15
6971,京セラ,プライム（内国株式）,2025/03,20145,273,,241,17.11,0.75,0.53
5711,三菱マテリアル,プライム（内国株式）,2025/03,19621,371,602,341,260.81,5.03,1.43
3116,トヨタ紡織,プライム（内国株式）,2025/03,19542,424,,167,93.65,3.74,1.53
1803,清水建設,プライム（内国株式）,2025/03,19444,710,717,660,94.8,7.68,2.62
4689,ＬＩＮＥヤフー,プライム（内国株式）,2025/03,19175,3150,,1535,21.0,5.12,1.68
4503,アステラス製薬,プライム（内国株式）,2025/03,19123,410,,507,28.35,3.35,1.52
4568,第一三共,プライム（内国株式）,2025/03,18863,3319,,2958,155.96,18.22,8.56
6473,ジェイテクト,プライム（内国株式）,2025/03,18844,385,,137,40.36,1.84,0.88
3861,王子ホールディングス,プライム（内国株式）,2025/03,18493,677,686,462,47.34,4.19,1.75
9201,日本航空,プライム（内国株式）,2025/03,18441,1686,,1070,245.09,10.98,3.83
9022,東海旅客鉄道,プライム（内国株式）,2025/03,18318,7028,6493,4584,465.88,9.96,4.44
9104,商船三井,プライム（内国株式）,2025/03,17755,1509,4197,4255,1186.6,15.84,8.54
9064,ヤマトホールディングス,プライム（内国株式）,2025/03,17627,142,196,379,111.87,6.44,2.99
4183,三井化学,プライム（内国株式）,2024/03,17497,741,,500,262.99,5.79,2.26
6981,村田製作所,プライム（内国株式）,2025/03,17434,2797,,2338,125.11,9.06,7.72
9041,近鉄グループホールディングス,プライム（内国株式）,2025/03,17418,844,815,467,245.65,8.59,1.86
1878,大東建託,プライム（内国株式）,2024/03,17315,1048,1087,747,1110.58,18.55,6.91
7911,ＴＯＰＰＡＮホールディングス,プライム（内国株式）,2025/03,17180,841,886,893,295.98,6.91,3.55
9021,西日本旅客鉄道,プライム（内国株式）,2025/03,17079,1802,1657,1140,240.08,9.85,3.04
285A,キオクシアホールディングス,プライム（内国株式）,2025/03,17065,4517,,2723,519.96,36.92,9.33
7205,日野自動車,プライム（内国株式）,2025/03,16972,575,393,-2178,-379.34,,
2587,サントリー食品インターナショナル,プライム（内国株式）,2024/12,16968,1602,,935,302.57,7.73,4.54
4612,日本ペイントホールディングス,プライム（内国株式）,2024/12,16387,1876,,1273,54.22,8.0,4.15
9831,ヤマダホールディングス,プライム（内国株式）,2025/03,16291,428,480,269,38.9,4.22,2.03
4452,花王,プライム（内国株式）,2024/12,16284,1466,,1078,231.94,10.1,5.77
7013,ＩＨＩ,プライム（内国株式）,2025/03,16268,1435,,1127,744.84,23.4,5.03
5713,住友金属鉱山,プライム（内国株式）,2025/03,15933,-159,,165,59.99,0.89,0.54
8802,三菱地所,プライム（内国株式）,2025/03,15798,3092,2630,1894,151.04,7.39,2.37
2802,味の素,プライム（内国株式）,2025/03,15306,1140,,703,69.77,9.41,4.08
9504,中国電力,プライム（内国株式）,2025/03,15292,1291,1285,985,273.7,13.92,2.26
6479,ミネベアミツミ,プライム（内国株式）,2025/03,15227,945,,595,147.58,8.0,3.75
5938,ＬＩＸＩＬ,プライム（内国株式）,2024/03,14832,164,,-139,-48.44,,
9143,ＳＧホールディングス,プライム（内国株式）,2025/03,14792,878,889,581,92.92,10.02,5.59
8129,東邦ホールディングス,プライム（内国株式）,2024/03,14767,193,218,207,320.13,8.29,2.67
7912,大日本印刷,プライム（内国株式）,2025/03,14576,936,1159,1107,238.9,9.74,5.77
2181,パーソルホールディングス,プライム（内国株式）,2025/03,14512,574,,359,16.17,18.92,6.65
8473,ＳＢＩホールディングス,プライム（内国株式）,2025/03,14437,7215,,1621,536.09,12.85,0.5
3291,飯田グループホールディングス,プライム（内国株式）,2024/03,14392,592,,372,132.57,3.83,2.05
4324,電通グループ,プライム（内国株式）,2024/12,14110,-1250,,-1922,-734.56,,
4004,レゾナック・ホールディングス,プライム（内国株式）,2024/12,13915,890,697,735,406.61,8.48,3.38
8601,大和証券グループ本社,プライム（内国株式）,2025/03,13720,1667,2247,1544,109.53,9.41,0.43
6305,日立建機,プライム（内国株式）,2025/03,13713,1547,,814,382.83,10.06,4.55
2282,日本ハム,プライム（内国株式）,2025/03,13706,359,,266,263.06,5.07,2.8
8439,東京センチュリー,プライム（内国株式）,2025/03,13686,1171,1323,853,174.51,8.28,1.24
6724,セイコーエプソン,プライム（内国株式）,2025/03,13629,751,,552,168.75,6.86,3.79
6723,ルネサスエレクトロニクス,プライム（内国株式）,2024/12,13485,2230,,2191,122.51,8.63,4.88
9513,電源開発,プライム（内国株式）,2025/03,13167,1383,1401,925,505.64,6.92,2.52
4091,日本酸素ホールディングス,プライム（内国株式）,2025/03,13080,1659,,988,228.2,10.07,4.08
4204,積水化学工業,プライム（内国株式）,2025/03,12978,1080,1110,819,195.93,10.15,6.16
3288,オープンハウスグループ,プライム（内国株式）,2024/09,12959,1191,1203,929,782.6,20.03,7.25
3141,ウエルシアホールディングス,プライム（内国株式）,2025/02,12850,364,408,150,72.23,6.02,2.58
2212,山崎製パン,プライム（内国株式）,2024/12,12445,519,563,360,178.58,8.74,4.16
7832,バンダイナムコホールディングス,プライム（内国株式）,2025/03,12415,1802,1865,1293,197.87,16.31,11.73
5110,住友ゴム工業,プライム（内国株式）,2024/12,12119,112,,99,37.51,1.5,0.74
5801,古河電気工業,プライム（内国株式）,2025/03,12018,471,486,334,473.48,9.77,3.38
9735,セコム,プライム（内国株式）,2025/03,11999,1443,1751,1081,259.96,8.51,5.04
8283,ＰＡＬＴＡＣ,プライム（内国株式）,2025/03,11881,280,317,229,366.45,7.95,4.51
3863,日本製紙,プライム（内国株式）,2025/03,11824,197,155,45,39.33,0.94,0.27
1808,長谷工コーポレーション,プライム（内国株式）,2025/03,11774,847,834,344,126.2,6.48,2.52
4519,中外製薬,プライム（内国株式）,2024/12,11706,5420,,3873,235.39,20.37,17.54
9869,加藤産業,プライム（内国株式）,2024/09,11698,169,187,145,453.04,9.29,3.18
7974,任天堂,プライム（内国株式）,2025/03,11649,2826,3723,2788,239.47,10.23,8.2
2269,明治ホールディングス,プライム（内国株式）,2025/03,11541,847,820,508,186.08,6.79,4.29
3289,東急不動産ホールディングス,プライム（内国株式）,2025/03,11503,1408,1292,776,108.69,9.43,2.38
3107,ダイワボウホールディングス,プライム（内国株式）,2025/03,11368,349,355,248,271.37,16.27,5.62
7550,ゼンショーホールディングス,プライム（内国株式）,2025/03,11367,751,719,393,250.79,16.37,4.83
4902,コニカミノルタ,プライム（内国株式）,2025/03,11279,-640,,-475,-95.98,,
6504,富士電機,プライム（内国株式）,2025/03,11234,1176,1188,922,642.69,13.33,7.03
8308,りそなホールディングス,プライム（内国株式）,2025/03,11175,,2922,2133,92.41,7.82,0.28
4768,大塚商会,プライム（内国株式）,2024/12,11077,744,759,535,141.04,14.42,7.94
9042,阪急阪神ホールディングス,プライム（内国株式）,2025/03,11069,1109,1112,674,281.77,6.51,2.05
5101,横浜ゴム,プライム（内国株式）,2024/12,10947,1192,,749,467.81,8.38,4.32
1333,マルハニチロ,プライム（内国株式）,2025/03,10786,304,323,233,461.88,10.13,3.42
4088,エア・ウォーター,プライム（内国株式）,2025/03,10759,752,,491,214.57,9.49,3.93
4631,ＤＩＣ,プライム（内国株式）,2024/12,10711,445,379,213,225.11,5.31,1.74
6302,住友重機械工業,プライム（内国株式）,2024/12,10711,551,492,77,63.86,1.21,0.61
4042,東ソー,プライム（内国株式）,2025/03,10634,989,1030,580,182.13,7.01,4.37
3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,2025/03,10616,821,863,547,133.85,10.5,7.67
7282,豊田合成,プライム（内国株式）,2025/03,10598,598,,363,285.99,6.7,3.98
6861,キーエンス,プライム（内国株式）,2025/03,10591,5498,5610,3987,1643.77,12.82,12.12
9005,東急,プライム（内国株式）,2025/03,10550,1035,1077,797,134.81,9.62,2.95
8020,兼松,プライム（内国株式）,2025/03,10509,421,,275,328.95,15.79,3.98
9107,川崎汽船,プライム（内国株式）,2025/03,10479,1029,3081,3054,460.11,18.53,13.82
4543,テルモ,プライム（内国株式）,2025/03,10362,1577,,1170,79.01,8.55,6.4
3132,マクニカホールディングス,プライム（内国株式）,2025/03,10342,396,373,253,140.93,10.01,4.54
8830,住友不動産,プライム（内国株式）,2025/03,10142,2715,2683,1917,405.11,8.84,2.85
6988,日東電工,プライム（内国株式）,2025/03,10139,1857,,1372,195.74,13.14,10.38
7130,ヤマエグループホールディングス,プライム（内国株式）,2025/03,10069,158,176,85,308.16,9.58,2.14
3401,帝人,プライム（内国株式）,2025/03,10055,-718,,283,147.15,6.57,2.67
5741,ＵＡＣＪ,プライム（内国株式）,2025/03,9988,574,,280,585.96,9.63,2.88
7733,オリンパス,プライム（内国株式）,2025/03,9973,1625,,1179,102.99,15.68,8.23
3941,レンゴー,プライム（内国株式）,2025/03,9933,374,392,290,116.94,6.25,2.33
4911,資生堂,プライム（内国株式）,2024/12,9906,76,,-108,-27.06,,
6770,アルプスアルパイン,プライム（内国株式）,2025/03,9904,341,305,378,184.0,9.14,5.11
8113,ユニ・チャーム,プライム（内国株式）,2024/12,9890,1385,,818,46.41,10.59,6.6
2296,伊藤ハム米久ホールディングス,プライム（内国株式）,2025/03,9888,196,208,131,230.87,4.59,2.8
5803,フジクラ,プライム（内国株式）,2025/03,9794,1355,1372,911,330.31,22.36,10.97
3349,コスモス薬品,プライム（内国株式）,2024/05,9650,315,343,245,308.61,10.57,5.13
2433,博報堂ＤＹホールディングス,プライム（内国株式）,2025/03,9533,376,427,108,29.32,2.76,1.03
8012,長瀬産業,プライム（内国株式）,2025/03,9450,391,384,255,230.39,6.4,3.16
2733,あらた,プライム（内国株式）,2024/03,9441,145,153,103,303.01,9.41,3.26
9843,ニトリホールディングス,プライム（内国株式）,2025/03,9290,1204,1262,769,680.38,7.97,5.69
8133,伊藤忠エネクス,プライム（内国株式）,2025/03,9245,269,,171,151.63,9.93,3.87
3048,ビックカメラ,プライム（内国株式）,2024/08,9226,244,267,139,81.25,9.13,2.91
5901,東洋製罐グループホールディングス,プライム（内国株式）,2025/03,9225,342,376,224,134.05,3.36,1.86
7276,小糸製作所,プライム（内国株式）,2025/03,9167,449,491,462,156.49,7.37,5.2
9509,北海道電力,プライム（内国株式）,2025/03,9021,758,641,642,312.76,16.39,2.86
9024,西武ホールディングス,プライム（内国株式）,2025/03,9011,2927,2876,2582,901.98,45.97,14.08
5233,太平洋セメント,プライム（内国株式）,2025/03,8963,778,754,574,502.48,7.64,4.03
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,2024/12,8927,134,,73,40.75,1.57,0.91
1332,ニッスイ,プライム（内国株式）,2025/03,8861,318,353,254,81.66,9.16,4.0
7741,ＨＯＹＡ,プライム（内国株式）,2025/03,8858,,,2021,581.45,20.75,16.37
8088,岩谷産業,プライム（内国株式）,2025/03,8830,462,615,404,175.76,10.48,4.64
7649,スギホールディングス,プライム（内国株式）,2025/02,8780,426,420,257,141.96,10.25,5.19
6448,ブラザー工業,プライム（内国株式）,2025/03,8766,699,,548,214.27,7.92,5.87
6361,荏原製作所,プライム（内国株式）,2024/12,8667,980,,714,154.62,15.09,7.1
9505,北陸電力,プライム（内国株式）,2025/03,8583,1010,914,651,311.98,17.11,3.5
1963,日揮ホールディングス,プライム（内国株式）,2025/03,8581,-115,113,-4,-1.65,,
9069,センコーグループホールディングス,プライム（内国株式）,2025/03,8546,349,338,186,118.9,8.57,2.59
9956,バローホールディングス,プライム（内国株式）,2025/03,8544,232,262,137,257.63,7.98,2.97
7419,ノジマ,プライム（内国株式）,2025/03,8534,484,512,323,334.97,15.97,5.18
2002,日清製粉グループ本社,プライム（内国株式）,2025/03,8515,464,492,347,117.33,7.15,4.39
9507,四国電力,プライム（内国株式）,2025/03,8514,891,916,683,332.2,15.6,4.05
8194,ライフコーポレーション,プライム（内国株式）,2025/02,8505,253,262,179,195.11,12.96,5.86
5076,インフロニア・ホールディングス,プライム（内国株式）,2025/03,8475,471,,324,131.17,6.24,2.23
3391,ツルハホールディングス,プライム（内国株式）,2025/02,8456,379,378,172,353.67,6.12,2.95
5202,日本板硝子,プライム（内国株式）,2025/03,8404,165,,-138,-151.79,,
5017,富士石油,プライム（内国株式）,2025/03,8402,-56,-39,-58,-74.78,,
8098,稲畑産業,プライム（内国株式）,2025/03,8378,258,261,198,363.88,9.53,4.49
3405,クラレ,プライム（内国株式）,2024/12,8269,851,815,317,96.33,4.15,2.46
6472,ＮＴＮ,プライム（内国株式）,2025/03,8256,230,105,-238,-44.9,,
3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード（内国株式）,2025/02,8113,60,61,8,5.43,0.4,0.21
4118,カネカ,プライム（内国株式）,2025/03,8072,400,329,253,400.91,5.37,2.75
9989,サンドラッグ,プライム（内国株式）,2025/03,8018,445,438,308,262.9,11.4,6.93
6645,オムロン,プライム（内国株式）,2025/03,8018,540,,163,82.64,2.11,1.19
5991,日本発條,プライム（内国株式）,2025/03,8017,522,580,482,224.73,11.81,6.92
4751,サイバーエージェント,プライム（内国株式）,2024/09,8012,401,397,160,31.56,10.27,3.09
6954,ファナック,プライム（内国株式）,2025/03,7971,1588,1967,1476,157.31,8.56,7.62
6471,日本精工,プライム（内国株式）,2025/03,7967,285,,106,21.78,1.63,0.87
6273,ＳＭＣ,プライム（内国株式）,2025/03,7921,1902,2099,1563,2444.62,8.11,7.44
4523,エーザイ,プライム（内国株式）,2025/03,7894,544,,464,163.76,5.52,3.35
6857,アドバンテスト,プライム（内国株式）,2025/03,7797,2282,,1612,218.67,31.82,18.87
8278,フジ,プライム（内国株式）,2025/02,7782,130,143,38,44.05,1.75,0.93
2897,日清食品ホールディングス,プライム（内国株式）,2025/03,7766,744,,550,184.41,11.57,6.48
4182,三菱瓦斯化学,プライム（内国株式）,2025/03,7736,509,603,455,228.93,6.82,4.07
2730,エディオン,プライム（内国株式）,2025/03,7681,234,244,141,134.32,6.34,3.25
7240,ＮＯＫ,プライム（内国株式）,2025/03,7669,373,481,303,184.8,5.24,3.37
4307,野村総合研究所,プライム（内国株式）,2025/03,7648,1349,,938,163.56,21.6,10.1
3231,野村不動産ホールディングス,プライム（内国株式）,2025/03,7576,1190,1067,748,86.77,9.98,2.79
6586,マキタ,プライム（内国株式）,2025/03,7531,1070,,793,294.9,8.57,7.17
8282,ケーズホールディングス,プライム（内国株式）,2025/03,7380,218,259,95,57.08,3.79,2.25
9076,セイノーホールディングス,プライム（内国株式）,2025/03,7374,299,281,193,115.41,4.85,2.5
8279,ヤオコー,プライム（内国株式）,2025/03,7364,334,326,202,493.3,11.14,5.36
1893,五洋建設,プライム（内国株式）,2025/03,7275,217,188,125,44.12,7.24,1.89
5332,ＴＯＴＯ,プライム（内国株式）,2025/03,7245,485,504,122,71.72,2.33,1.49
141A,トライアルホールディングス,グロース（内国株式）,2024/06,7179,192,198,114,109.76,9.89,4.03
7731,ニコン,プライム（内国株式）,2025/03,7153,24,,61,17.86,0.96,0.55
5016,ＪＸ金属,プライム（内国株式）,2025/03,7149,1125,,683,73.53,11.1,5.32
5706,三井金属鉱業,プライム（内国株式）,2025/03,7123,747,764,647,1130.94,19.5,9.83
2801,キッコーマン,プライム（内国株式）,2025/03,7090,737,,617,64.99,12.13,9.08
7241,フタバ産業,プライム（内国株式）,2025/03,7071,152,133,62,69.38,5.28,1.98
1944,きんでん,プライム（内国株式）,2025/03,7051,610,645,472,236.26,7.89,5.75
2871,ニチレイ,プライム（内国株式）,2025/03,7021,383,399,247,97.34,9.51,4.95
2692,伊藤忠食品,プライム（内国株式）,2025/03,6994,85,113,82,646.65,7.1,3.02
8425,みずほリース,プライム（内国株式）,2025/03,6954,490,662,420,154.54,10.98,1.08
9048,名古屋鉄道,プライム（内国株式）,2025/03,6907,421,477,377,192.12,8.17,2.6
9435,光通信,プライム（内国株式）,2025/03,6866,1050,,1175,2671.56,12.85,4.96
8242,エイチ・ツー・オー　リテイリング,プライム（内国株式）,2025/03,6818,348,359,348,295.5,11.64,4.77
4661,オリエンタルランド,プライム（内国株式）,2025/03,6794,1721,1733,1242,75.62,12.7,8.63
5714,ＤＯＷＡホールディングス,プライム（内国株式）,2025/03,6787,322,436,271,455.59,6.81,4.03
7936,アシックス,プライム（内国株式）,2024/12,6785,1001,926,638,88.3,27.38,12.29
8424,芙蓉総合リース,プライム（内国株式）,2025/03,6784,648,690,453,501.65,9.52,1.27
3360,シップヘルスケアホールディングス,プライム（内国株式）,2025/03,6782,248,260,151,160.34,10.15,3.96
1942,関電工,プライム（内国株式）,2025/03,6719,583,595,424,207.35,11.52,7.03
2607,不二製油,プライム（内国株式）,2025/03,6712,99,53,22,25.94,1.06,0.37
1951,エクシオグループ,プライム（内国株式）,2025/03,6708,425,435,269,128.97,8.36,4.18
9274,ＫＰＰグループホールディングス,プライム（内国株式）,2025/03,6700,135,97,80,117.99,9.27,2.27
3880,大王製紙,プライム（内国株式）,2025/03,6689,98,45,-112,-67.29,,
7105,三菱ロジスネクスト,スタンダード（内国株式）,2025/03,6656,208,149,87,81.25,7.0,1.69
8227,しまむら,プライム（内国株式）,2025/02,6654,592,606,419,569.83,8.36,7.39
5929,三和ホールディングス,プライム（内国株式）,2025/03,6624,805,840,575,264.61,17.86,10.76
6269,三井海洋開発,プライム（内国株式）,2024/12,6621,511,,349,510.3,18.67,4.9
7453,良品計画,プライム（内国株式）,2024/08,6617,561,558,416,157.1,14.2,8.16
